Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
2162,Sri Venkateswara Hospital Blood Bank,Tamil Nadu,THIRUVARUR,Tiruvarur,"No.16, Kamalayam West Bank, Tiruvarur",610004,"04366 242866, 04366 243143",,,,,,,,,,,Private,NO,,24x7,,,,#N/A,#N/A
2163,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Kovilpatti,"Government Head Quarters Hospital, Kovilpatti, Thoothukudi",628501,04632 223106,"08012062297, 09629179751",N/A,N/A,bloodbankkvp132013@gmail.com,,Dr. Kamalavasan,N/A,9442151877,akroshy@gmail.com,"MBBS, DLO",Government,NO,NO,24x7,84,31-03-1997,31-12-2017,9.175646,77.874168
2164,Sudiksha Prabhu Hospital Blood Bank and Research Centre,Tamil Nadu,Thoothukudi (TUTICORIN),Kovilpatti,"59,60, Chokkan Urani Street, AKS Theatre Road
V.O.C. Nagar, Kadershan Koil, Kovilpatti",628501,"04632 233939, 04632 233828",N/A,N/A,N/A,N/A,http://www.SudikshaPrabhuHospital.com,Dr. Prabhu,N/A,9443363944,ramadoss.prabhu@gmail.com,MBBS,Private,NO,NO,24x7,338,03-10-2012,02-10-2017,9.172693,77.864944
2165,Aarthi Hospital Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Kovilpatti,"60, Santhaipettai Road, Kovilpatti
",628502,04362 223346,"09688213113, 09442123346",N/A,N/A,arthibloodbankkvp@yahoo.com,http://www.arthiscan.com,Dr. K. Annand,N/A,99442123346,arthibloodbankkvp@yahoo.com,MBBS,Private,NO,NO,24x7,357,15-07-2014,14-07-2019,9.174494,77.866384
2166,Government Thoothukudi Medical College Hospital Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Thoothukudi,"Palayamkottai Road, Thoothukudi 
",628 008,0462 2321052,"09842139132, 09790308787, 07598853127, 08012722728",N/A,N/A,govc.bloodbankthoothukudi@gmail.com,http://www.tmctkd.ac.in/,Dr. R. Shanthi,N/A,9842139132,govc.bloodbankthoothukudi@gmail.com,"MBBS, DCP",Government,YES,NO,24x7,89/28 C,01-01-2011,31-12-2015,8.798061,78.136134
2167,Tuticorin Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Tuticorin,"No. 67/70, 1st Floor, North Car Street, Tuticorin",628002,0461 4200666,"09443388571, 09443205542",N/A,N/A,N/A,,Dr. Nandhakumar,N/A,9443388571,jcraj78@gmail.com,MBBS,Private,NO,NO,24x7,317,13-12-2010,12-12-2015,8.808076,78.146747
2168,Rajesh Tilak Hospital Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Tuticorin,"Door No 107J/79/53, PC Road, First floor, Rajesh Tilak Hospital Campus, West Millarpuram, Tuticorin",628008,,,,,,,,,,,,Private,,,,,,,8.798868,78.126177
2169,M/S Moses Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Tuticorin,"No, 24 Teppakulam Street",,,,,,,,,,,,,Private,,,,,,,8.8064891,78.1484439
2170,M/S AVM Hospital Blood Bank,Tamil Nadu,Thoothukudi (TUTICORIN),Tuticorin,"AVM Marimuthy Nadar Trust AVM associates Private Limited, 
No. 135 Palayamkottai Road, Tuticorin",,,,,,,,,,,,,Private,,,,,,,8.8017551,78.1375386
2171,Southern Railway Hospital Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Tirchy,"Gold Rock, Railway colony",620002,0431 249 0708,,,,,,,,,,,Government,NO,NO,24x7,,,,10.784568,78.725301
2172,Bharath Heavy Electricals Limited Hospital Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Tirchy,"BHEL Main Hospital, Bharath Heavy Electricals Limited, Thiruverumbur, Trichy",620014,0431 2571810,9003972853,N/A,N/A,nagaragankl9@gmail.com,,Dr. Narayanan,0431 2571810,9442502864,drnarayan@bheltry.co.in,"MBBS, DCP",Government,NO,NO,24x7,,,,10.7655805,78.7858073
2173,Mahathma Gandhi Memorial Government Hospital Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"(Attached with KAP Vishwanathan Medical College) Mahathma Gandhi Memorial Government Hospital, EVR Road, Puthur, Trichy",620017,0431 2770047,"09443060693, 09965519761, 09790365485,",N/A,0431 2771465,bloodbankghtrichy@gmail.com,,Dr. Backiyalakshmi,N/A,9443060693,bloodbankghtrichy@gmail.com,"MBBS, MD (Pathology)",Government,YES,NO,24x7,80,03-02-1997,21-12-2017,10.811588,78.677458
2174,KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals),Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"No. 6 Royal Road, Cantonment, Trichy ",620001,"0431 4077777, (Ex.2508)","09443965512, 09443076418",N/A,0431 2415402 (Hospital),Einfo@kauveryhospital.com,http://www.kauveryhospital.com,Dr. S. Sivamani ,9443965512,9443076418,Einfo@kauveryhospital.com,MBBS,Private,YES,YES,24x7,6/28 C,23-10-2008,24-10-2013 to 23-10-2018,10.802301,78.680138
2175,Bharath Blood Bank  ,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"No, 15A Rishi Complex, II Floor,  Main Road, Thillainagar ",620018,"0431 2760995, 0431 2760226",N/A,Local-1052,N/A,palani2000@yahoo.com,,Dr. Anthuvandurai,N/A,9443156665,palani2000@yahoo.com,MBBS,Private,NO,NO,24x7,54,Mar-96,31-12-2011,10.819196,78.676748
2176,Friends Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"No. 7C Williams Road, Contonment ",620001,0431 2460646,,,,,,,,,,,Private,NO,NO,,,,,10.8024029,78.6847091
2177,Victory Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"No.95 Salai Road, Woraiyur, Trichy",620003,0431 2768588,,,,,,,,,,,Private,NO,NO,,,,,10.827116,78.6804779
2178,Doctors Blood Bank and Research Centre ,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"Doctors Blood Bank and Reseach Centre (Run by DDC Charitable Trust), 123/1, Puthur Main Road, Woraiyur",620003,0431 274004,,,,,,,,,,,Charity,NO,NO,,,,,#N/A,#N/A
2179,Chennai Medical College Hospital and Research Centre,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"SRM Medical College, Irungallar, Manachanallur, Trichy",621105,0431 4298925,,,,,,,,,,,Private,YES,,24x7,,,,10.954422,78.754891
2180,Government Headquarters Hospital Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"Government  Head Quarters Hospital, Viralimalai Road, Manapparai",621306,0432 260760,"09965904997, 09791431198",N/A,N/A,bloodbank2015manaparai@gmail.com,,Dr. A. Shanthi,N/A,9443373127,devaganthari@gmail.com,"MBBS, DD",Government,NO,NO,24x7,354,10-02-2005,28-05-2019,10.604228,78.437862
2181,Church of South India Mission General Hospital Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"Woraiyur, Tiruchirappalli",620003,"0431 2761927, 0431 2762879, 0431 2760672, Ext. 423","09443685617, 09865297849, 094433 37664",N/A,0431 2750057,csightry@gmail.com,http://www.csimgh.com,Dr. Gunawathy,N/A,9443685617,csightry@gmail.com,"MBBS, MD (Paed.)",Charity,NO,NO,24x7,62/C,02-05-1994,08-12-2011 (Applied),10.830302,78.67675
2182,Child Jesus Hospital Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"Next to All India Radio, Promenade Road, Cantonment, Tiruchirappalli",620001,"0431 2415816, 0431 2410816",9488414084,N/A,0431 2411335,childjesuslab@gmail.com,http://www.childjesushospital.org,Dr. Chacko Nadackal Theresia Kutty,N/A,9488414084,childjesuslab@gmail.com,"MBBS, MD, DGO",Private,NO,NO,24x7,309,07-04-1997,12-12-2014,10.805162,78.686566
2183,Blood Bank of Shavana,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"13/333 First floor, Keelpagam Trichy Main Road, Manaparai",,0431 2750321,9244611750,,,,,,,,,,Private,NO,NO,24x7,,,,10.8014925,78.6840405
2184,M/S Apollo Speciality Hospitals Blood Bank,Tamil Nadu,TIRUCHIRAPPALLI,Trichy,"2nd floor, Chennai By - Pass Road,  Ariyamangalam,
Old Palpannai ",620010,,,,,,,,,,,,Private,,,,,,,10.8070322,78.7111298
2185,Government Hospital Blood Bank,Tamil Nadu,TIRUNELVELI,Ambasamudram,"Goverment Hospital, Ambasamudram",627401,04634 253480,9443252905,N/A,N/A,ambaibloodbank@gmail.com,,Dr. Venkatachalam ,04634 253480,9443252905,venkatambai65@gmail.com,"MBBS, MD (GM)",Government,NO,NO,24x7,243/28c,27-05-2004,26-05-2009,8.702599,77.385988
2186,Bethel Blood Bank,Tamil Nadu,TIRUNELVELI,Palayamkottai,"No. 17 Thiruchendur  Road, Palayamkottai",627002,"0462 2574775, 0462 2585258, 0462 2575258",9942018383,,,,,,,,,,Private,NO,NO,24x7,,,,8.7263552,77.7309071
2187,Government Hospital Blood Bank,Tamil Nadu,TIRUNELVELI,Sankarankovil,"Government Hospital, Katcheri Road, Sankaran Kovil
",627756,04636 222399,094439 95522,N/A,N/A,bloodbankskl@gmail.com,,Dr. Suganthakumari,04636 222399,9443995522,bloodbankskl@gmail.com,"MBBS, DMRD",Government,NO,NO,24x7,231/28 C,17-12-2003,16-12-2008 (Applied),9.167302,77.535764
2188,Government Head Quarters Hospital Blood Bank,Tamil Nadu,TIRUNELVELI,Tenkasi,"Government Head Quarters Hospital, Tenkasi",627811,04633 280138,8438465334,N/A,N/A,bbthenkasi12@gmail.com,,Dr. Safoorabeevi,N/A,9442894237,bbthenkasi12@gmail.com,MBBS,Government,NO,NO,24x7,355,31-03-1997,31-12-2017,8.952567,77.315522
2189,Shifa Hospitals Blood Bank,Tamil Nadu,TIRUNELVELI,Thirunelveli,"No. 82 Kailasapuram Middle Street, IIIrd Floor, Thirunelveli Junction, Thirunelveli",627001,"0462 2323041, 0462 2323044, 0462 2333245","09443152817, 09843834757",N/A,0462 2351566,shifahospitals2004@yahoo.com,,Dr. Mohamed Gani,N/A,"09443499414, 09843834757",shifahospitals2004@yahoo.com,MBBS ,Private,NO,NO,24x7,201/28 C,01-06-2009,31-05-2017,8.728161,77.710143
2190,Tirunelveli Medical College Hospital Blood Bank,Tamil Nadu,TIRUNELVELI,Tirunelveli,"Tirunelveli Medical College Hospital, Tirunelveli",627011,"0462 2576878, 0462 2572615",9843193801,N/A,0462 2579785,bloodbanktvmch@gmail.com,http://tvmc.ac.in/,Dr. Manimala,,9843193801,bloodbanktvmch@gmail.com,"MBBS, MD (Pathology) ",Government,YES,NO,24x7,234,09-03-2009,09-03-2014 (Applied),8.711749,77.75082
2191,Kartheek Nursing Home Blood Bank,Tamil Nadu,TIRUNELVELI,Tirunelveli,"Complex No. 37 (STC Road) Perumal Puram 7th Street, Thirunelveli",627007,"0462 2530409,  0462 2530410,  0462 2531777","091505 22642, 09443125280",N/A,N/A,kartheeknursinghome@rediffmail.com,,Mr. M.S. Perumal ,N/A,9443125280,kartheeknursinghome@rediffmail.com,N/A,Private,YES,NO,24x7,228,18-03-2010,17-03-2015,8.704073,77.738605
2192,Life Line Blood Bank Component and Research Centre ,Tamil Nadu,TIRUNELVELI,Tirunelveli,"Run by Subashtika Charitable Society, 3rd Floor, Sri Sudharsan Hospital, No.4, Salai Street, Vannarpettai",627003,0462 4560430,9894124430,N/A,N/A,lifeline.bloodbank@gmail.com,http://www.lifelinebloodbank.com,Mr. N.R. Ramesh Kumar,,9894124430,lifeline.bloodbank@gmail.com,"BSc, MLT",Charity,YES,NO,24x7,285/28 C,13-12-2007,12-12-2012,8.729758,77.719592
2193,Aarthi Hospital and Diagnostic Centre Blood Bank,Tamil Nadu,TIRUNELVELI,Tirunelveli,"No. 177/A-22/2, Trivandrum High Road Vannarapettai, Tirunelveli",627003,"0462 2501363, 0462 221346","09688213113, 08508664777",N/A,N/A,N/A,http://www.arthiscan.com,Mr. Selvin Sam Oliver,,9688213113,sam649976@yahoo.com,DMLT ,Private,NO,NO,24x7,212 / 28 C,21-05-2003,20-05-2013,8.716055,77.749882
2194,Galaxy Hospital Blood Bank,Tamil Nadu,TIRUNELVELI,Tirunelveli,"North Bye Pass Road, Vannerpettai, Tirunelveli
",627003,"0462 2501951, 0462 2501955",9942525580,N/A,0462 2501956,"labbalamurugan@gmail,com",http://www.galaxyhospitals.com,Mr. Balamurugan,N/A,9942525580,"labbalamurugan@gmail,com","DMLT, MSc, M.Phil",Private,NO,NO,24x7,261,05-07-2005,30-07-2015 (applied),8.733836,77.723049
2195,Sardar Raja Mission Hospital Blood Bank,Tamil Nadu,TIRUNELVELI,Tirunelveli,"Tirurajapuram, Kavalkinaru Junction",627105,04637 231905,9442942400,N/A,N/A,chairman@rajasdentalcollege.com,,Dr. S.A Jacob Raja,N/A,9443331905,chairman@rajasdentalcollege.com,MDS,Charity,NO,NO,24x7,297,16-12-2008,10-11-2013,8.729798,77.719613
2196,M/S Annai Blood Bank,Tamil Nadu,TIRUNELVELI,Tirunelveli,"M/S Annai Blood Bank (Run by Annai Medical Trust), No. 67 Pappu Sahib Complex,Melamuthuraman koil Street, Tenkasi",627811,,,,,,,,,,,,Charity,,,,,,,8.9599354,77.3087861
2197,Government Hospital Blood Bank,Tamil Nadu,TIRUPPUR,Dharapuram,"Government  Hospital, Park Road, Near Taluk Office, Dharapuram",638656,04258 220226,9626185212,N/A,N/A,cmodharapuram@gmail.com,,Dr. Chandrasekaran,N/A,9442221364,cmodharapuram@gmail.com,MBBS,Government,NO,NO,24x7,220/28c,28-08-2003,28-08-2013,10.732509,77.530473
2198,Revathy Medical Centre Blood Bank,Tamil Nadu,TIRUPPUR,Thiruppur,"No 10, CKP Layout 4th Floor, Valayankadu Main Road, Kumar Nagar (West) Avinashi Road, Tiruppur",614603,0421 4332211,"09842247997, 09842233335 ",N/A,0421 4332211,revathimedicalcenter@gmail.com,http://www.revathimedicalcenter.com,Dr. R. Eswaramurthi,,9842247997,revathimedicalcenter@gmail.com,MBBS ,Private,YES,NO,24x7,289/28 C,07-05-2008,07-05-2013 to 06-06-2018,11.120178,77.32933
2199,DSK Hospital Blood Bank,Tamil Nadu,TIRUPPUR,Tiruppur,"9 Kathir Nagar, Kangayam Main Road, Kathir Layout Road, Sathyamurthy Nagar, Tiruppur",641604,"0421 2422434, 0421 2421350",,,,,,,,,,,Private,NO,NO,24x7,,,,11.103261,77.369155
2200,Sri Kumaran Hospital Blood Bank,Tamil Nadu,TIRUPPUR,Tiruppur,"No. 774 A-DPN Road, Near Bus Stand",641 602,0421 4330000,,,,,,,,,,,Private,NO,NO,24x7,,,,11.1308187,77.3412947
2201,Government Head Quarters Hospital Blood Bank,Tamil Nadu,TIRUPPUR,Tiruppur,"Government Head Quarters Hospital, Dharapuram Road, Tiruppur ",641607,0421 2423400,9842230774,N/A,N/A,bloodbankghqhtcr@gmail.com,,Dr. Priya Visuvasam,N/A,"09842230774, 09688332480",bloodbankghqhtcr@gmail.com,"MBBS, DCH",Government,YES,NO,24x7,  376/28 C,20-01-1998,26-06-2015,11.076008,77.36898
2202,Government Hospital Blood Bank,Tamil Nadu,TIRUPPUR,Udumalpet,"Government Hospital, VOC Street, Udumalpet",642126,04252 220092,"09894671046, 09750821412",N/A,N/A,bbghudumalpet@gmail.com,,Dr. M. Elanchelian,N/A,9894671046,bbghudumalpet@gmail.com,"MBBS, DCH",Government,NO,NO,24x7,144,12-03-1978,10-07-2011 (Applied for license renewal),10.583823,77.247247
2203,Udumalpet Indian Medical Association Rotary Blood Bank,Tamil Nadu,TIRUPPUR,Udumalpet,"UKP-IMA Building, K.P.N. Nagar Gandhinagar Post, Udumalpet",642154,04252 226458,,,,,,,,,,,Charity,NO,NO,24x7,,,,10.586364,77.255039
2204,Government Medical College Hospital Blood Bank,Tamil Nadu,TIRUVANNAMALAI,Tiruvannamalai,"Government Thiruvannamalai Medical College Hospital, Thiruvannamalai",606603,04175 223585,"09962910320, 09787527294 ",N/A,N/A,bloodbank90@gmail.com,,Dr. Anitha Rani,N/A,9962910320,bloodbank90@gmail.com,"MBBS, MD (Pathology)",Government,NO,NO,24x7,90/22 C,1992,31-12-2013,12.225476,79.064744
2205,ST Thomas Hospital Blood Bank and Leprosy Centre,Tamil Nadu,TIRUVANNAMALAI,Tiruvannamalai,"Chettupattu, Polur Road, Tiruvannamalai",606801,04181 252263,9443252867,N/A,N/A,sthlcchetpet@hotmail.com,,Dr. V.V. Ramana Rao,N/A,"09443252867, 09486722172 ",sthlcchetpet@hotmail.com,"MBBS, TDD",Charity,NO,NO,24x7,239/28 C,26-04-2004,25-04-2014 (Applied),12.466265,79.335994
2206,Government Medical College Hospital Blood Bank,Tamil Nadu,VELLORE,Adukamparai,"Arni Road, Arani Road, Opposite Staff Quarters, Adukkamparai, Vellore",632011,04162 263900,9003508909,N/A,N/A,baskardcp65@gmail.com,,Dr. Bhaskaran,N/A,9894172141,baskardcp65@gmail.com,"MBBS, DCP",Government,YES,NO,24x7,217/28c,N/A,26-03-2016,12.845971,79.135775
2207,Government Hospital Blood Bank,Tamil Nadu,VELLORE,Ambur,"Government Hospital, Nethaji Road, Ambur",635802,04174 244656,7708885992,N/A,N/A,amburictc@gmail.com,,Dr. J. Manju,N/A,9840815495,amburictc@gmail.com,MBBS,Government,NO,NO,24x7,219,1995,18-06-2013,12.786665,78.716928
2208,Bethesda Hospital Blood Bank,Tamil Nadu,VELLORE,Ambur,"Mission Compound, Post Box No 56,  Ambur",635802,04174 242131,9894053388,N/A,N/A,drchaks07@gmail.com,,Dr. Chakravarthy,N/A,9443492128,drchaks07@gmail.com,MBBS,Private,NO,NO,24x7,210,2010,2013,12.778149,78.720022
2209,Government Hospital Blood Bank Arakonam,Tamil Nadu,VELLORE,Arakonam,"Arakonam, Vellore",,,,,,,,,,,,,Government,,,,,,,13.0752392,79.6558242
2210,Government Hospital Blood Bank,Tamil Nadu,VELLORE,Gudiyatham,"Government Hospital, Gudiyatham",632602,04171 221100,9003563054,N/A,N/A,ghdudiyatham@gmail.com,,Dr. Natarajan,N/A,9443542667,ghdudiyatham@gmail.com,"MBBS, DLO",Government,NO,NO,24x7,141/28C,01-01-2007,31-12-2011,12.945268,78.870574
2211,Government Head Quarters Hospital Blood Bank,Tamil Nadu,VELLORE,Tirupattur,"Government Hospital, Railway Station Road, Achamangalam, Tirupattur",635601,04179 220080,"09443280350, 09047659868",N/A,N/A,ghthirupathur@gmail.com,,Dr. M.T. Kumaravel,N/A,9443280350,mtkumaravel31@gmail.com,"MBBS, MS",Government,NO,NO,24x7,246,2005,14-09-2015 (Applied),12.49646,78.565713
2212,Government Hospital Blood Bank,Tamil Nadu,VELLORE,Vaniyambadi,"Government Hospital, Vaniyambadi",635751,04174 225700,"09095524567, 08220800727",N/A,N/A,ghvaniyambadi@gmail.com,,Dr. P.S. Tanveer Ahmed,N/A,9840208610,pstanveerahmed1981@gmail.com,"MBBS, DLO",Government,NO,NO,24x7,88,31-03-1997,04-01-2013,12.676583,78.615933
2213,CMC Hospital Blood Bank,Tamil Nadu,VELLORE,Vellore,"IDA Scudder Road, Vellore, Tamil Nadu ",632004,"0416 2222102,0416 2282010",9655503150,N/A,0416 2232035,clinpath@cmcvellore.ac.in,http://www.cmc-vellore.edu,Dr. Joy Mammen,N/A,9655503150,joymammen@cmcvellore.ac.in,"MBBS, MD",Charity,YES,YES,24x7,57/28c,31-12-1997,31-12-2011,12.92504,79.136105
2214,Masonic Blood Bank,Tamil Nadu,VELLORE,Vellore,"W/BRO V Surendranath Reddy Memorial Trust ,No. 5/2 New Katpadi Road, Opposite to Hotal River view, Vellore",632004,"0416 2220717, 0416 2223024","09849470612, 09443799998",N/A,N/A,masonicbloodbank@gmail.com,,Dr. M.V. Suresh,,9849470612,masonicbloodbank@gmail.com,"MBBS, MD (Pathology)",Charity,YES,YES,24x7,207,2003,25-02-2013,12.930498,79.135092
2215,Sri Narayani Hospital and Research Centre Blood Bank,Tamil Nadu,VELLORE,Vellore,"Sripuram, Thirumalaikodi, Vellore, Tamil Nadu ",632055,"0416 2206300,0416 2271202, 0416 2271844, 0416 2271584",9994467006,,,,https://www.narayanihospital.org,,,,,,Private,NO,,24x7,,,,12.870762,79.089846
2216,Government Head Quarters Hospital Blood Bank,Tamil Nadu,VELLORE,Walajapet,"Government Head Quarters Hospital, Walaja",632513,04172 232538,"09600957070, 09884360270",N/A,N/A,tnhspwalaja@gmail.com ,,D. Achudhan,N/A,"09600957070, 09884360270",surgeonachu@gmail.com,"MBBS, MS",Government,NO,NO,24x7,326/28 C,15-06-2011,14-06-2016,12.926168,79.356628
2217,Government Head Quarters Hospital Blood Bank,Tamil Nadu,VILLUPURAM,Kallakurichi,"Government Hospital, Kachirapalayam Road, Kallakurichi",606202,04151 222527,"09994595590, 09965625277",N/A,N/A,kallakurichibs59@yahoo.com,,Dr. T. Navukkarasu,N/A,9994595590,kallakurichibs59@yahoo.com,"MBBS, MD",Government,NO,NO,24x7,1/194/28C,04-10-2001,31-12-2012,11.737301,78.959375
2218,Melmaruvathur Adiparasakthi Institute of Medical Sciences and Research Blood Bank,Tamil Nadu,VILLUPURAM,Melmaruvathur,"A unit of Adiparasuthi Charitable Medical Eductional Cultural Trust, Melmaruvathur, Kancheepuram",603319,"044 27528302, 044 27528303, 044 27528304",9442882041,,,,http://www.mapims.org,,,,,,Private,YES,,24x7,,,,12.434226,79.81321
2219,Government Hospital Blood Bank,Tamil Nadu,VILLUPURAM,Tindivanam,"Government Hospital, Hospital Road, Dindivanam
",604601,04147 222250,"09443497696, 08870562435",N/A,N/A,bloodbanktindivanam@gmail.com,,Dr. Anbarassi,N/A,9443497696,bloodbanktindivanam@gmail.com,"MBBS, DTHM",Government,NO,NO,24x7,94/28 C,31-03-1997,31-12-2007,12.241136,79.651734
2220,St Joseph Hospital Blood Bank,Tamil Nadu,VILLUPURAM,Tindivanam,"Police line, Jayapuram, Tindivanam 
",604002,04147 226363,9498098134,N/A,N/A,clunyhospital@gmail.com,,Dr. Sr. Sindhumol Joseph,N/A,"09498098134, 08940245469",clunyhospital@gmail.com,"MBBS, DGO",Charity,NO,NO,24x7,283 / 28 C,01-10-2007,01-10-2012 to 30-09-2017,12.219359,79.654492
2221,Government Hospital Blood Bank,Tamil Nadu,VILLUPURAM,Ulundupettai,"Government Hospital, Ulundurpettai",606107,04149 222201,9443276936,N/A,N/A,,,,N/A,,,,Government,NO,,24x7,,,,11.692762,79.285932
2222,Balaji KMR Charitable Trust Blood Bank,Tamil Nadu,VILLUPURAM,Villupuram,"27/B5, Trichy Trunk Road",605602,04142 51666,,,,,,,,,,,Charity,NO,NO,,,,,11.9241664,79.48117
2223,Government Villupuram Medical College and Hospital Blood Bank,Tamil Nadu,VILLUPURAM,Villupuram,"Government  Villupuram Medical College and Hospital, Mundiyambakkam, Villupuram",605601,04146 232101,"09750385117, 09942044686 ",N/A,N/A,villupurambs19@yahoo.co.in,http://www.vmcvpm.ac.in,Dr. Sarangan,N/A,8870640888,villupurambs19@yahoo.co.in,"MBBS, MD",Government,NO,NO,24x7,93/28c old one; new number-324/28c,31-03-1997,10-03-2010,11.992895,79.516782
2224,GN Blood Bank,Tamil Nadu,VILLUPURAM,Villupuram," Run by GG Educational and Charitable Trust, 7-C, Chairman Chidambaram Street, Villupuram",605602,04146 225545,9443481222,N/A,N/A,gnbloodbank@gmail.com,,Mr. M. Gopinath,N/A,9443481222, geethagopinath@gmail.com,"MSC, MLT ",Charity,NO,NO,24x7,337,2012,17-Oct,11.939851,79.487355
2225,Government Hospital Blood Bank,Tamil Nadu,VIRUDHUNAGAR,Aruppukottai,"Pandalkudi Road, Near Vellai Kottai, Aruppukottai
",626101,04566 220264,"099442 81973, 08940214961 ",N/A,N/A,,,Dr. Sakthivel,N/A,9442056478,apkgh123@gmail.com,"MBBS, DPH",Government,NO,NO,24x7,142/28c,1998,31-12-2016,9.502673,78.097224
2226,Government Hospital Blood Bank,Tamil Nadu,VIRUDHUNAGAR,Rajapalayam,Government Hospital,626117,04563 221301,"09787200368, 09443103975",N/A,N/A,rjpmghbb@gmail.com,,Dr. P. Ponnuchamy,N/A,9443103975,rjpmghbb@gmail.com,"MBBS, MS",Government,NO,NO,24x7,142/28C,04-02-1998,01-01-2016,9.41412,77.597374
2227,Sai Blood Bank and Clinical Laboratory,Tamil Nadu,VIRUDHUNAGAR,Rajapalayam,"No, 114 Chidambaranar Street, Sankaran Koil Road",626117,"04563 230516, 04563 221516",9600674712,N/A,N/A,sairjpm@gmail.com,,Dr. K. Gunasekaran,N/A,9443292455,N/A,"MBBS, DCH",Private,NO,NO,24x7,10,16-08-2004,16-08-2014,9.4443205,77.5550061
2228,Sri PAC Ramasamy Raja Rotary Blood Bank (Run by Rajapalayam rotary),Tamil Nadu,VIRUDHUNAGAR,Rajapalayam,"Old No :1069, New No : 170, Madurai to Tenkasi Road",626117,04563 226625,9940166945,,,,,,,,,,Charity,,,24x7,,,,9.4330691,77.561826
2229,Government Hospital Blood Bank,Tamil Nadu,VIRUDHUNAGAR,Sivakasi,"Government Hospital, Parasakthi colony, Near Sivakasi railway station, Shield Road",626123,04562 220301,9486496169,N/A,N/A,,,,,,,,Government,NO,NO,24x7,,,,9.460615,77.786369
2230,Sri Annai Blood Bank,Tamil Nadu,VIRUDHUNAGAR,Sivakasi,"Run by Nestle Foundation Trust, S.No. 49/8B 49/8C ward E Block No. 6., Door No. 56 J2 Chairman A. Shanmuga Nadar Road",626123,04562 222956,"07373796390, 09843296390",N/A,N/A,,,,,,,,Charity,,,24x7,,,,9.450807,77.79369
2231,Virudhunagar Hindu Nadar V Dhanasamy Parimala Devi Medical Trust Blood Bank,Tamil Nadu,VIRUDHUNAGAR,Virudhunagar,"No, 38 North Car Street",626001,"04562 243060, 04562 245607, 04562 244282",9043013213,9842653592,N/A,N/A,,Dr. R. Jeevarajan,N/A,9443202275,N/A,"MBBS, MCH & MD",Charity,NO,NO,24x7,20,22-12-1994,31-12-2016,#N/A,#N/A
2232,Government Head Quarters Hospital Blood Bank,Tamil Nadu,VIRUDHUNAGAR,Virudhunagar,"Government Head Quarters Hospital, Ramamoorthy Road, Virudhunagar",626001,04562 244425,"09842261613, 08903881948, 09443569354",18004251303,04562 246030 (Health Insurance Office),vnrghbb@gmail.com,,Dr. N. Aravind Babu,N/A,9842261613,vnrghbb@gmail.com,"MBBS, MD (Paed.)",Government,NO,NO,24x7,86/28 C,1997,31-12-2012,9.588385,77.961917
